PROJECTID;VALUE;ASSIGNEE;IS_DERIVED;POST_CODE1;PRODUCT;AUGRU;DISCIPLINE;ZZBESTURINGSTYPE
101000187591;PD209482;504461;;3438 LC;combi_laagbouw_groen;KA1;E;PROCES
101000187688;PD209480;504461;;3438 LC;combi_laagbouw_groen;KA1;E;PROCES
101000187689;PD209481;504461;;3438 LC;combi_laagbouw_groen;KA1;E;PROCES
101000187803;PD209477;504461;;3438 LC;combi_laagbouw_groen;KA1;E;PROCES
101000187895;PD209767;504461;;3417 MP;combi_laagbouw_groen;KA1;E;PROCES
101000187905;PD209516;504461;;3451 GL;combi_laagbouw_oranje;KA1;E;PROCES
101000187991;PD209788;504461;;3433 NK;combi_laagbouw_groen;KA1;E;PROCES
101000188071;PD209702;504461;;3401 BP;combi_laagbouw_groen;KA1;E+G;PROCES
101000188149;PD209911;504461;;3743 GD;combi_laagbouw_oranje;KA1;G;PROCES
101000188529;PD210242;504461;;3461 AG;combi_laagbouw_groen;KA1;E+G;PROCES
101000188581;PD210442;504461;;3417 MR;combi_laagbouw_groen;KA1;E;PROCES
101000188667;PD210353;504461;;3645 AB;combi_laagbouw_groen;KA1;E;PROCES
101000188716;PD210428;504461;;3752 GW;combi_laagbouw_oranje;KA1;E+G;PROCES
101000188880;PD210706;504461;;3815 KM;combi_laagbouw_groen;KA1;E+G;PROCES
101000188939;PD210616;504461;;3826 JJ;combi_laagbouw_oranje;KA1;E;PROCES
101000189559;PD211387;504461;;3641 RT;combi_laagbouw_groen;KA1;E+G;PROCES
101000189576;PD211429;504461;;3412 KM;combi_laagbouw_groen;KA1;E;PROCES
101000189616;PD211378;504461;;3401 NA;combi_laagbouw_groen;KA1;E;PROCES
101000189738;PD211557;504461;;1391 LM;combi_laagbouw_groen;KA1;E;PROCES
101000189750;PD211606;504461;;3439 ME;combi_laagbouw_groen;KA1;E+G;PROCES
101000190288;PD212310;504461;;3402 PH;combi_laagbouw_groen;KA1;E;PROCES
101000190513;PD212406;504461;;3437 PK;combi_laagbouw_groen;KA1;E;PROCES
101000190584;PD212660;504461;;3445 DA;combi_laagbouw_groen;KA1;E+G;PROCES
101000190617;PD212409;504461;;3811 NN;combi_laagbouw_groen;KA1;E+G;PROCES
101000190931;PD212785;504461;;3755 BB;combi_laagbouw_groen;KA1;E+G;PROCES
101000191008;PD212789;504461;;3755 BB;combi_laagbouw_groen;KA1;E+G;PROCES
101000191010;PD212793;504461;;3755 BB;combi_laagbouw_groen;KA1;E+G;PROCES
101000191052;PD212925;504461;;3755 BB;combi_laagbouw_groen;KA1;E;PROCES
101000191156;PD213189;504461;;3755 EZ;combi_laagbouw_groen;KA1;E;PROCES
101000191250;PD213180;504461;;3645 EB;combi_laagbouw_groen;KA1;E+G;PROCES
101000191322;PD213144;504461;;3831 JW;combi_laagbouw_groen;KA1;E+G;PROCES
101000191754;PD213725;504461;;3791 AP;combi_laagbouw_groen;KA1;E;PROCES
101000191766;PD213782;504461;;3743 KN;combi_laagbouw_groen;KA1;E;PROCES
101000191838;PD213677;504461;;3645 AT;combi_laagbouw_groen;KA1;E+G;PROCES
101000191944;PD213754;504461;;3401 NT;combi_laagbouw_groen;KA1;E;PROCES
101000192131;PD213985;504461;;3762 DE;combi_laagbouw_groen;KA1;E+G;PROCES
101000192210;PD213961;504461;;3812 RX;combi_laagbouw_groen;KA1;G;PROCES
101000192246;PD214085;504461;;3621 LR;combi_laagbouw_groen;KA1;E+G;PROCES
101000192275;PD214191;504461;;3441 GA;combi_laagbouw_groen;KA1;E;PROCES
101000192599;PD214593;504461;;3401 RD;combi_laagbouw_groen;KA1;E;PROCES
101000192772;PD214803;504461;;3832 GH;combi_laagbouw_groen;KA1;E;PROCES
101000192814;PD214645;504461;;3437 PH;combi_laagbouw_groen;KA1;E;PROCES
101000192826;PD214670;504461;;1427 BD;combi_laagbouw_groen;KA1;E;PROCES
101000193273;PD215366;504461;;3791 PS;combi_laagbouw_groen;KA1;E;PROCES
101000193442;PD215351;504461;;3742 AA;combi_laagbouw_groen;KA1;E;PROCES
101000193445;PD215373;504461;;3601 GH;combi_laagbouw_groen;KA1;E+G;PROCES
101000193446;PD215375;504461;;3741 CP;combi_laagbouw_oranje;KA1;E;PROCES
101000193671;PD215696;504461;;3811 BK;combi_laagbouw_groen;KA1;E+G;PROCES
101000193701;PD215591;504461;;3761 HA;combi_laagbouw_oranje;KA1;E;PROCES
101000193751;PD215744;504461;;3446 GL;combi_laagbouw_groen;KA1;E;PROCES
101000194022;PD215967;504461;;3481 VK;combi_laagbouw_groen;KA1;E;PROCES
101000194135;PD216179;504461;;3813 AJ;combi_laagbouw_groen;KA1;E+G;PROCES
101000194179;PD216302;504461;;3621 LZ;combi_laagbouw_groen;KA1;E;PROCES
101000194321;PD216325;504461;;3817 AE;combi_laagbouw_groen;KA1;E;PROCES
101000194444;PD216523;504461;;3791 VA;combi_laagbouw_groen;KA1;E;PROCES
101000194489;PD216648;504461;;3825 AP;combi_laagbouw_groen;KA1;E;PROCES
101000194614;PD216611;504461;;3437 PH;combi_laagbouw_groen;KA1;E;PROCES
101000194653;PD216717;504461;;3641 SZ;combi_laagbouw_groen;KA1;E;PROCES
101000194682;PD216819;504461;;3791 VZ;combi_laagbouw_groen;KA1;E;PROCES
101000194715;PD216710;504461;;3811 ND;combi_laagbouw_groen;KA1;E;PROCES
101000194821;PD216825;504461;;3791 VZ;combi_laagbouw_groen;KA1;E;PROCES
101000194939;PD216999;504461;;3817 KV;combi_laagbouw_groen;KA1;E;PROCES
101000195052;PD217171;504461;;3421 TA;combi_laagbouw_groen;KA1;E;PROCES
101000195207;PD217226;504461;;3474 JH;combi_laagbouw_groen;KA1;E;PROCES
101000195232;PD217309;504461;;3743 AJ;combi_laagbouw_groen;KA1;E+G;PROCES
101000195533;PD217442;504461;;3812 RR;combi_laagbouw_groen;KA1;E;PROCES
101000195803;PD217665;504461;;3752 WV;combi_laagbouw_groen;KA1;E+G;PROCES
101000195813;PD217687;504461;;3448 TV;combi_laagbouw_groen;KA1;E;PROCES
101000195907;PD217713;504461;;3754 NC;combi_laagbouw_groen;KA1;E;PROCES
101000196282;PD218283;504461;;3437 PH;combi_laagbouw_groen;KA1;E;PROCES
101000196328;PD218080;504461;;3431 DA;combi_laagbouw_groen;KA1;E;PROCES
101000196330;PD218083;504461;;3811 BN;combi_laagbouw_groen;KA1;E;PROCES
101000196579;PD218483;504461;;3481 VA;combi_laagbouw_groen;KA1;E;PROCES
101000196856;PD218747;504461;;3451 ML;combi_laagbouw_groen;KA1;E;PROCES
101000197004;PD218661;504461;;3826 JA;combi_laagbouw_groen;KA1;E;PROCES
101000197019;PD218727;504461;;3402 BL;combi_laagbouw_groen;KA1;E;PROCES
101000197151;PD218995;504461;;3812 EA;combi_laagbouw_oranje;KA1;E;PROCES
101000197173;PD219066;504461;;3826 JC;combi_laagbouw_groen;KA1;E;PROCES
101000197384;PD219131;504461;;3816 AK;combi_laagbouw_groen;KA1;G;PROCES
101000197764;PD219660;504461;;3831 RZ;combi_laagbouw_groen;KA1;E;PROCES
101000197801;PD219491;504461;;3632 BT;combi_laagbouw_groen;KA1;G;PROCES
101000197926;PD219580;504461;;3824 MB;combi_laagbouw_groen;KA1;E+G;PROCES
101000197950;PD219654;504461;;3417 GS;combi_laagbouw_groen;KA1;E;PROCES
101000198097;PD220027;504461;;3826 JD;combi_laagbouw_groen;KA1;E;PROCES
101000198259;PD220007;504461;;3645 BB;combi_laagbouw_groen;KA1;E+G;PROCES
101000198319;PD220127;504461;;3471 EH;combi_laagbouw_groen;KA1;E;PROCES
101000198348;PD220244;504461;;3601 CG;combi_laagbouw_groen;KA1;E;PROCES
101000198395;PD220442;504461;;3603 AK;combi_laagbouw_groen;KA1;E+G;PROCES
101000198436;PD220292;504461;;3812 BD;combi_laagbouw_groen;KA1;E+G;PROCES
101000198489;PD220443;504461;;3815 AG;combi_laagbouw_groen;KA1;E+G;PROCES
101000198498;PD220463;504461;;3437 PH;combi_laagbouw_groen;KA1;E;PROCES
101000198502;PD220216;504461;;3825 AK;combi_laagbouw_groen;KA1;E;PROCES
101000198545;PD220363;504461;;3481 GJ;combi_laagbouw_groen;KA1;E+G;PROCES
101000198559;PD220405;504461;;3791 AB;combi_laagbouw_groen;KA1;E;PROCES
101000198764;PD220642;504461;;1393 NG;combi_laagbouw_groen;KA1;E;PROCES
101000198842;PD220679;504461;;3812 PN;combi_laagbouw_groen;KA1;E;PROCES
101000198899;PD220857;504461;;3435 BZ;combi_laagbouw_groen;KA1;E;PROCES
101000199175;PD221129;504461;;3417 XE;combi_laagbouw_groen;KA1;E;PROCES
101000199291;PD221302;504461;;3743 DG;combi_laagbouw_groen;KA1;E+G;PROCES
101000199316;PD221162;504461;;3632 VD;combi_laagbouw_groen;KA1;E;PROCES
101000199505;PD221357;504461;;3455 RN;combi_laagbouw_groen;KA1;E;PROCES
101000199543;PD221487;504461;;3641 SG;combi_laagbouw_groen;KA1;E;PROCES
101000199623;PD221509;504461;;3438 AM;combi_laagbouw_groen;KA1;E;PROCES
101000200014;PD221615;504461;;3449 HJ;combi_laagbouw_groen;KA1;E;PROCES
101000200116;PD221948;504461;;3833 GS;combi_laagbouw_groen;KA1;E;PROCES
101000200479;PD222428;504461;;3603 AV;combi_laagbouw_groen;KA1;E;PROCES
101000200517;PD222297;504461;;3743 BP;combi_laagbouw_groen;KA1;G;PROCES
101000201096;PD223090;504461;;3761 HA;combi_laagbouw_groen;KA1;E+G;PROCES
101000201277;PD223166;504461;;3621 AT;combi_laagbouw_groen;KA1;E;PROCES
101000201408;PD223217;504461;;3401 XA;combi_laagbouw_groen;KA1;E;PROCES
101000201477;PD223445;504461;;3742 AW;combi_laagbouw_groen;KA1;E;PROCES
