PROJECTID;VALUE;ASSIGNEE;IS_DERIVED;POST_CODE1;PRODUCT;AUGRU;DISCIPLINE;ZZBESTURINGSTYPE;VESTIGING
101000203935;PD225959;750549;X;2592 EA;verzwaren_vervangen_aansluitkast;KA1;E;PROCES;S03
101000203918;PD225907;749620;;1431 AN;grootverbruik_projecten;KA1;G;PROJECT;S02
101000203939;PD225969;765816;X;3732 VE;aardgasloos_renoveren_laagbouw_6_uur;KA1;G;PROCES;S05
101000203925;PD225926;504015;;3812 PK;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S05
101000204003;PD225974;504250;X;2841 NW;verzwaren_vervangen_aansluitkast;KA1;E;PROCES;S05
000031019545;PD225983;602973;;3311 RE;;K15;E;PROJECT;S01
101000203942;PD225987;603329;X;3161 HC;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S01
101000204010;PD225990;501065;X;3828 GC;verzwaren_zekeringwissel;KA1;E+G;PROCES;S05
101000203881;PD225993;863935;X;3336 LJ;cor_oranje;KA1;E;PROCES;S01
101000203882;PD225992;503400;X;3191 BP;verzwaren_zekeringwissel;KA1;E;PROCES;S01
000031014696;PD163818;765352;;3334 VA;;N06;E;PROJECT;S01
101000204012;PD225996;862107;X;2282 BS;verzwaren_zekeringwissel;KA1;E+G;PROCES;S03
101000203947;PD226003;504250;X;3531 TC;verzwaren_vervangen_aansluitkast;KA1;E+G;PROCES;S05
101000203949;PD226008;750549;X;2513 CZ;verzwaren_compleet_vervangen;KA1;E+G;PROCES;S03
101000203884;PD226009;504250;X;3645 DL;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000204020;PD226012;504250;X;3645 DL;VERLICHT;KA1;E;PROCES;S05
101000203888;PD226020;862107;X;2651 PM;verzwaren_compleet_vervangen;KA1;E;PROCES;S03
101000180468;PD202360;504238;;3582 EG;wb_>5_aanleg_e_t/m_1750kva_hoogbouw_incl._net;KA1;E;PROJECT;S05
101000203955;PD226025;501065;X;3904 NH;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000203890;PD226026;750549;X;2584 XZ;verzwaren_compleet_vervangen;KA1;E+G;PROCES;S03
101000204026;PD226035;504250;X;3531 GM;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000203871;PD225957;503950;;2871 AL;sloop_enkelvoudig_secundair;KA1;E;PROCES;S05
101000204009;PD225989;749620;;1433 NK;GASLOOS;KA1;G;PROCES;S02
101000203894;PD226033;749620;;1181 MK;GASLOOS;KA1;G;PROCES;S02
101000190563;PD212585;101238;;3763 LP;combi_laagbouw_groen;KA1;E;PROCES;S05
101000203873;PD225970;504015;;3583 JK;aardgasloos_renoveren_laagbouw_4_uur;KA1;G;PROCES;S05
101000204030;PD226045;503400;X;3201 EN;verzwaren_zekeringwissel;KA1;E;PROCES;S01
101000203897;PD226046;504250;X;3607 RB;verzwaren_zekeringwissel;KA1;E;PROCES;S05
101000180040;PD201716;503343;;3143 DG;wb_>5_aanleg_e_t/m_1750kva_hoogbouw_incl._net;KA1;E;PROJECT;S03
101000204038;PD226063;501065;X;3754 NG;VERLICHT;KA1;E;PROCES;S05
101000204100;PD226064;603329;X;2967 EC;aardgasloos_renoveren_laagbouw_8_uur;KA1;G;PROCES;S01
