PRODUCT;Hoofdproduct;SAPCODEPRODUCTCHANNEL;SAPCODEPRODUCTTEAM;VARIANTID;WORKCENTREID;IS_ACTIVE;;;;
EV Kvb laadpaal (groen excl. vergunning);Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;33;;1;;;;
EV Kvb laadpaal (groen excl. vergunning);Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;33;AVTPH1;1;;;;
Verkoop Proces - Uitvoering Projecten Verkoop OOR+;Verkoop Proces - Uitvoering Projecten;klant_en_combi;verkoop_proces_uitvoering_projecten;58;;1;;;;
Verkoop Proces - Uitvoering Projecten Verkoop Combi;Verkoop Proces - Uitvoering Projecten;klant_en_combi;verkoop_proces_uitvoering_projecten;58;;1;;;;
Verkoop Proces - Uitvoering Projecten Verkoop A&A;Verkoop Proces - Uitvoering Projecten;klant_en_combi;verkoop_proces_uitvoering_projecten;58;;1;;;;
TL-Proj. Verlicht/Verzwaar Elek - excl. graafwerk excl. net;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
TL-Proj. Verplaatsen E 3x100A t/m 1750kVA  excl. net;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
WB >5 Verzwaren E t/m 3x80A Hoogbouw incl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
GVB-Proj. Verlicht/Verzwaar Elek - incl. graafwerk excl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
GVB-Proj. Verlicht/Verzwaar Gas - incl. graafwerk excl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
GVB-Proj. Verwijderen Gas G40 t/m G250  excl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
TL-Proj. Verlicht/Verzwaar Elek - excl. graafwerk incl. net;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
SL-Proj. Verwijderen Gas tm G25 Hoogbouw incl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
GVB-Proj. Verlicht/Verzwaar Elek - excl. graafwerk incl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
EV MS Verlichten/verzwaren;Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;51;;1;;;;
GVB-Proj. Verplaatsen Gas G40 t/m G250  excl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
GVB-Proj. Verlicht/Verzwaar Elek - incl. graafwerk incl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
SL-Proj. Verwijderen Gas tm G250 Hoogbouw GVB+KVB excl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
WB Transf. >5 Aanleg tm 3x80A + verw. tm 3x250A incl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
EV MS Verplaatsen;Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;51;;1;;;;
SL-Proj. Verwijderen E tm 1750kVA Hoogbouw GVB+KVB incl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
TL-Proj. Aanleg E 3x100A t/m 1750kVA  incl. net;Teruglevering Projecten;klant_en_combi;teruglevering_projecten;NULL;NULL;1;;;;
GVB-Proj. Verwijderen E 3x100A t/m 1750kVA  excl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
SL-Proj. Verwijderen E tm 1750kVA Laagbouw GVB+KVB excl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
WB >5 Aanleg E t/m 1750kVA Laagbouw excl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
WB >5 Verwijderen Gas t/m G25 KVB Hoogbouw incl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
EV-GVB Verplaatsen;Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;51;;1;;;;
GVB-Proj. Aanleg E 3x100A t/m 1750kVA  incl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
WB >5 Verwijderen Gas t/m G25 KVB Laagbouw ;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
GVB-Proj. Aanleg Gas G40 t/m G250 excl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
EV MS Verwijderen;Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;51;;1;;;;
WB >5 Verzwaren E t/m 3x80A Laagbouw incl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
WB >5 Aanleg G4 t/m G250 Hoogbouw excl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
SL-Proj. Verwijderen E tm 1750kVA Hoogbouw GVB+KVB excl. Net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
WB >5 Aanleg E t/m 1750kVA Laagbouw incl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
EV-GVB Verwijderen;Elektrisch Vervoer;oor_plus;elektrisch_vervoer_proces;51;;1;;;;
GVB-Proj. MLOEA serieel Elektra - Afname;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
COR Oranje (incl. vergunningen);Communicatie Openbare Ruimte;oor_plus;communicatie_openbare_ruimte;NULL;NULL;1;;;;
WB >5 Aanleg E t/m 1750kVA Hoogbouw incl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
WB >5 Aanleg G4 t/m G25 Hoogbouw incl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
WB >5 Aanleg G4 t/m G250 Hoogbouw incl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
GVB-Proj. Verwijderen E 3x100A t/m 1750kVA  incl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
GVB-Proj. Verlicht/Verzwaar Gas - incl. graafwerk incl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
GVB-Proj. Verplaatsen E 3x100A t/m 1750kVA  excl. net;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
SL-Proj. Verwijderen Gas tm G25 Laagbouw incl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
SL-Proj. Verwijderen E tm 3x80A Hoogbouw incl. net;Sloop Projecten;klant_en_combi;sloop_projecten;NULL;NULL;1;;;;
GVB-Proj. Verlicht/Verzwaar Gas - excl. graafwerk;Grootverbruik Projecten;klant_en_combi;grootverbruik_projecten;NULL;NULL;1;;;;
WB >5 Aanleg G4 t/m G25 Laagbouw excl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
WB >5 Aanleg G4 t/m G25 Laagbouw incl. net;Woningbouw;klant_en_combi;woningbouw;NULL;NULL;1;;;;
AGLR GVB – HD Net;Aardgasloos;a_en_a;aardgasloos_renoveren;NULL;NULL;1;;;;
