VARIANTID,PB_TAAKID,PB_TAAK_OMSCHRIJVING,TAAK_TAAKID,TAAK_TAAK_OMSCHRIJVING,TAAK_VOLGORDE
000085,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000085,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000086,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000086,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000086,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000086,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000087,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000087,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000087,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000087,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000088,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000088,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000088,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000088,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000089,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000089,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000089,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000089,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000090,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000090,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000090,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000090,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000091,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000091,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000091,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000091,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000094,9210_94,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000094,9210_94,Controleren oplevering,9659_94,Inzichtelijk maken kosten,0011
000094,9210_94,Controleren oplevering,9670_94,Controle revisie,0021
000094,9210_94,Controleren oplevering,9671_94,Afsluiten openstaande bestelobligo's,0031
000095,9210_94,Controleren oplevering,9659_94,Inzichtelijk maken kosten,0001
000095,9210_94,Controleren oplevering,9670_94,Controle revisie,0003
000095,9210_94,Controleren oplevering,9671_94,Afsluiten openstaande bestelobligo's,0004
000096,9210_96,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000096,9210_96,Controleren oplevering,9659_96,Inzichtelijk maken kosten,0002
000096,9210_96,Controleren oplevering,9670_96,Controle revisie,0003
000096,9210_96,Controleren oplevering,9671_96,Afsluiten openstaande bestelobligo's,0004
000097,9210_96,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000097,9210_96,Controleren oplevering,9659_96,Inzichtelijk maken kosten,0002
000097,9210_96,Controleren oplevering,9670_96,Controle revisie,0003
000097,9210_96,Controleren oplevering,9671_96,Afsluiten openstaande bestelobligo's,0004
000125,9210_HSK2,Controleren oplevering,9660_HSKV,Controle PV staat,0001
000125,9210_HSK2,Controleren oplevering,9670_HSKV,Controle revisie,0002
000131,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000131,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000131,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000131,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000301,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000301,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000301,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000301,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000302,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000302,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000302,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000302,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000303,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000303,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000303,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000303,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000304,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000304,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000304,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000304,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000305,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000305,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
